,region,country,latidude,longitude,pytzname,timezone,dst,std,dst
ArimaTT,Arima,TT,10.633330345153807,-61.283329010009773,America/Port_of_Spain,-4.0,0.0,AST,AST
ArizonaUS,Arizona,US,32.725318908691413,-114.62439727783205,America/Phoenix,-7.0,0.0,MST,MST
ArkadhiaGR,Arkadhia,GR,37.508888244628906,22.379440307617188,Europe/Athens,2.0,1.0,EET,EEST
ArkansasUS,Arkansas,US,36.226181030273438,-92.684890747070312,America/Chicago,-6.0,1.0,CST,CDT
ArkhangelskRU,Arkhangelsk,RU,61.070060729980469,42.098300933837891,Europe/Moscow,3.0,0.0,MSK,MSK
ArmavirAM,Armavir,AM,40.062358856201172,43.986900329589844,Asia/Yerevan,4.0,0.0,AMT,AMT
ArroyoPR,Arroyo,PR,17.987190246582031,-66.025436401367188,America/Puerto_Rico,-4.0,0.0,AST,AST
ArtaDJ,Arta,DJ,11.522219657897947,42.841941833496094,Africa/Djibouti,3.0,0.0,EAT,EAT
ArtaGR,Arta,GR,39.166671752929688,21.034719467163086,Europe/Athens,2.0,1.0,EET,EEST
ArtiboniteHT,Artibonite,HT,19.450000762939453,-72.683326721191392,America/Port-au-Prince,-5.0,1.0,EST,EDT
ArtvinTR,Artvin,TR,40.820350646972656,41.544300079345696,Europe/Istanbul,2.0,1.0,EET,EEST
Aruba (general)AW,Aruba (general),AW,12.523980140686035,-70.027030944824219,America/Aruba,-4.0,0.0,AST,AST
Arunachal PradeshIN,Arunachal Pradesh,IN,27.633329391479489,93.833328247070312,Asia/Kolkata,5.5,0.0,IST,IST
ArushaTZ,Arusha,TZ,-3.25,35.516670227050781,Africa/Dar_es_Salaam,3.0,0.0,EAT,EAT
As SulaymaniyahIQ,As Sulaymaniyah,IQ,35.618301391601562,45.9541015625,Asia/Baghdad,3.0,0.0,AST,AST
As Suwayda'SY,As Suwayda',SY,32.492000579833984,36.711139678955078,Asia/Damascus,2.0,1.0,EET,EEST
As SuwaysEG,As Suways,EG,29.973709106445309,32.526271820068359,Africa/Cairo,2.0,0.0,EET,EET
Ash ShamaliyahBH,Ash Shamaliyah,BH,26.154720306396484,50.620559692382812,Asia/Bahrain,3.0,0.0,AST,AST
Ash SharqiyahEG,Ash Sharqiyah,EG,30.360559463500977,31.377599716186523,Africa/Cairo,2.0,0.0,EET,EET
Ash SharqiyahOM,Ash Sharqiyah,OM,22.566669464111328,59.528888702392578,Asia/Muscat,4.0,0.0,GST,GST
Ash SharqiyahSA,Ash Sharqiyah,SA,26.653610229492191,49.916389465332031,Asia/Riyadh,3.0,0.0,AST,AST
AshantiGH,Ashanti,GH,6.6884799003601074,-1.6244299411773682,Africa/Accra,0.0,0.0,GMT,GMT
AsirSA,Asir,SA,20.000539779663086,42.605201721191406,Asia/Riyadh,3.0,0.0,AST,AST
AssamIN,Assam,IN,26.766670227050781,92.133331298828125,Asia/Kolkata,5.5,0.0,IST,IST
AstanaKZ,Astana,KZ,51.180099487304688,71.445976257324219,Asia/Almaty,6.0,0.0,ALMT,ALMT
Astrakhan'RU,Astrakhan',RU,48.584201812744141,45.733798980712891,Europe/Volgograd,3.0,0.0,MSK,MSK
AsturiasES,Asturias,ES,43.448589324951172,-6.7053399085998535,Europe/Madrid,1.0,1.0,CET,CEST
AsuncionPY,Asuncion,PY,-25.3006591796875,-57.635910034179688,America/Asuncion,-3.0,-1.0,PYT,PYST
AswanEG,Aswan,EG,24.476690292358398,32.946258544921875,Africa/Cairo,2.0,0.0,EET,EET
AsyutEG,Asyut,EG,27.310400009155273,30.970039367675781,Africa/Cairo,2.0,0.0,EET,EET
At Ta'mimIQ,At Ta'mim,IQ,35.468059539794922,44.392219543457031,Asia/Baghdad,3.0,0.0,AST,AST
AtacamaCL,Atacama,CL,-28.570829391479489,-70.758056640625,America/Santiago,-3.0,1.0,CLT,CLST
AtlanticoCO,Atlantico,CO,10.75,-74.983329772949233,America/Bogota,-5.0,0.0,COT,COT
AtlantidaHN,Atlantida,HN,15.783329963684082,-87.449996948242188,America/Tegucigalpa,-6.0,0.0,CST,CST
AtlantiqueBJ,Atlantique,BJ,6.4485201835632324,2.3556599617004395,Africa/Porto-Novo,1.0,0.0,WAT,WAT
